[Thu Sep 28 03:27:02 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:27:25 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:30:56 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:31:15 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:31:53 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:32:36 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:32:54 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:33:30 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:34:25 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:34:49 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:35:17 CDT 2017] Saved all players, restarting...
[Thu Sep 28 03:35:38 CDT 2017] Saved all players, restarting...
[Tue Oct 10 23:55:03 CDT 2017] Saved all players, restarting...
[Fri Dec 08 03:29:32 CST 2017] Saved all players, restarting...
[Fri Dec 08 03:32:09 CST 2017] Saved all players, restarting...
[Fri Dec 08 03:34:27 CST 2017] Saved all players, restarting...
[Fri Dec 08 03:37:33 CST 2017] Saved all players, restarting...
[Sat Dec 09 14:05:29 CST 2017] Saved all players, restarting...
[Sat Dec 09 14:17:12 CST 2017] Saved all players, restarting...
[Sat Dec 09 14:20:23 CST 2017] Saved all players, restarting...
[Mon Dec 11 13:51:09 CST 2017] Saved all players, restarting...
[Tue Dec 12 02:28:29 CST 2017] Saved all players, restarting...
[Tue Dec 12 02:30:57 CST 2017] Saved all players, restarting...
[Tue Dec 12 02:35:13 CST 2017] Saved all players, restarting...
[Tue Dec 12 03:13:33 CST 2017] Saved all players, restarting...
[Tue Dec 12 03:18:47 CST 2017] Saved all players, restarting...
[Tue Dec 12 03:24:05 CST 2017] Saved all players, restarting...
[Tue Dec 12 03:37:30 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:24:20 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:35:53 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:36:43 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:38:59 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:50:34 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:51:11 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:52:03 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:53:00 CST 2017] Saved all players, restarting...
[Tue Dec 12 04:54:08 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:03:40 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:06:44 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:09:19 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:10:38 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:11:39 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:14:06 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:14:58 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:16:09 CST 2017] Saved all players, restarting...
[Tue Dec 12 05:17:20 CST 2017] Saved all players, restarting...
[Tue Dec 12 13:10:42 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:38:17 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:44:23 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:45:49 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:46:27 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:47:01 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:49:31 CST 2017] Saved all players, restarting...
[Tue Dec 12 23:50:22 CST 2017] Saved all players, restarting...
[Wed Dec 13 01:59:52 CST 2017] Saved all players, restarting...
[Wed Dec 13 02:00:57 CST 2017] Saved all players, restarting...
[Fri Dec 15 17:29:26 CST 2017] Saved all players, restarting...
[Fri Dec 15 17:30:15 CST 2017] Saved all players, restarting...
[Fri Dec 15 17:30:51 CST 2017] Saved all players, restarting...
[Fri Dec 15 17:33:47 CST 2017] Saved all players, restarting...
[Fri Dec 15 17:34:26 CST 2017] Saved all players, restarting...
[Mon Dec 18 01:08:48 CST 2017] Saved all players, restarting...
[Mon Dec 18 01:09:56 CST 2017] Saved all players, restarting...
[Mon Dec 18 01:14:47 CST 2017] Saved all players, restarting...
[Mon Dec 18 01:18:03 CST 2017] Saved all players, restarting...
